,2MASS,id,tmag,MASS,RAD,ROT,Activity Flag,Binary Flag
0,00051079+4547116,439946126,8.02890014648438,0.528,0.536,,0,0
1,00054090+4548374,439949948,7.42180013656616,0.65,0.656,,0,0
5,00133880+8039569,407574350,9.14675045013428,0.559,0.567,,0,0
7,00161607+1951515,150899677,10.5668001174927,0.299,0.315,,0,0
8,00170635+4056538,352179145,7.54300022125244,0.719,0.723,,0,0
9,00182256+4401222,440109725,6.22900009155273,0.403,0.415,,0,0
10,00182549+4401376,440109718,8.3858699798584,0.159,0.182,,0,0
11,00232865+7711217,407457205,9.35334968566895,0.493,0.502,,0,0
13,00265268+7008326,407210683,8.67228984832764,0.551,0.559,,0,0
14,00270673+4941531,202518606,11.4444999694824,0.25,0.268,,0,0
16,00322979+6714043,420470815,8.44600009918213,0.382,0.394,,0,0
17,00343773+7111418,397795649,11.0569000244141,0.267,0.284,,0,0
19,00360847+4530575,191228368,9.51500034332275,0.679,0.684,,0,0
20,00383388+5127579,240688842,10.3374996185303,0.28,0.297,,0,0
21,00385879+3036583,267688052,8.90777969360352,0.424,0.436,,0,0
22,00393349+1454188,245763892,11.621000289917,0.303,0.319,34.01,0,0
24,00424820+3532554,267802440,8.50940990447998,0.763,0.767,2.17,1,0
28,00520003+2034585,435876741,9.74639987945557,0.63,0.636,,0,0
29,00535321+4556404,196257181,9.47912979125977,0.589,0.596,,0,0
30,00563841+1727347,336777483,11.0214004516602,0.318,0.333,,0,0
31,01012006+6121560,256316623,8.71255970001221,0.397,0.409,,0,0
32,01023213+7140475,379084450,7.75470018386841,0.473,0.482,,0,0
33,01023895+6220422,256419669,7.5966100692749,0.573,0.58,,0,0
34,01031408+2005523,243154339,9.11800003051758,0.49,0.5,,0,0
35,01031408+2005523,471012297,9.60299968719482,0.49,0.5,,0,0
41,01064151+1516229,384886463,9.41174030303955,0.561,0.568,,0,0
42,01070794+6356284,52626846,7.61639976501465,0.693,0.698,,0,0
44,01084037+1714348,408251015,9.19849967956543,0.647,0.652,,0,0
45,01115562+0455048,336892484,10.4385995864868,0.291,0.307,,0,0
46,01115799+0454120,336892478,11.2632999420166,0.191,0.212,,0,0
47,01163929+2519535,16917838,8.6451997756958,0.699,0.704,,0,0
48,01175067+2840143,16956183,9.64424991607666,0.458,0.468,,0,0
49,01175325+0528256,380887434,9.16763973236084,0.555,0.563,,0,0
50,01195227+8409327,461635002,11.6922998428345,0.15,0.174,,0,0
51,01213098+8009063,420658458,8.39299964904785,0.725,0.729,,0,0
55,01382162+5713571,453303407,9.60400009155273,0.268,0.285,,0,0
56,01382998+0039059,262845999,9.54885959625244,0.488,0.497,,0,0
57,01431592+2750315,238602461,8.68953037261963,0.661,0.666,,0,0
58,01432015+0419172,369534824,8.76214027404785,0.405,0.417,,0,0
59,01445851+1620396,88756273,11.3064002990723,0.207,0.227,,0,0
60,01451820+4632077,327729815,9.43758010864258,0.619,0.625,4.05,1,0
61,01480397+2112243,456933791,9.95580005645752,0.429,0.44,,0,0
62,01484059+3306071,20931752,10.4270000457764,0.488,0.497,,0,0
63,01591239+0331092,422677299,9.45162963867188,0.738,0.743,,0,0
65,01592349+5831162,445501347,9.52713966369629,0.355,0.369,,1,0
66,02001278+1303112,404715018,9.2974100112915,0.143,0.167,,1,0
67,02013533+6346118,374029463,8.74783039093018,0.468,0.478,,0,0
68,02021620+1020136,347509900,11.8830995559692,0.103,0.129,,0,0
69,02065718+4511045,292277000,8.59200000762939,0.603,0.609,,0,0
70,02081568+8013156,331725581,9.57339954376221,0.621,0.627,,0,0
71,02100486+3525504,63585149,11.5431003570557,0.304,0.32,,0,0
72,02122090+0334310,270415707,8.15297985076904,0.45,0.46,,0,0
73,02145978+1725089,58873965,11.7049999237061,0.217,0.237,,0,0
74,02152197+0729389,337130939,9.98062992095947,0.574,0.581,,0,0
75,02162977+1335136,408587159,11.9874000549316,0.097,0.124,,1,0
76,02181266+4416120,415976826,11.3013000488281,0.352,0.366,,0,0
77,02190305+3521181,429066777,10.1663999557495,0.324,0.339,,0,0
78,02210181+3652481,129789756,11.789999961853,0.174,0.196,,0,0
80,02221463+4752481,409527090,7.64212989807129,0.618,0.624,,0,0
81,02312765+5722432,444136855,10.7693004608154,0.281,0.298,,0,0
82,02333717+2455392,22750743,10.1969995498657,0.203,0.223,,1,0
83,02355328+2013119,247042708,8.59601020812988,0.515,0.523,,0,0
84,02361535+0652191,278962913,9.02054023742676,0.245,0.264,,0,0
85,02364781+3204204,85399665,10.3889999389648,0.25,0.268,,0,0
86,02364781+3204204,471012358,10.3889999389648,0.25,0.268,,0,0
87,02423253+0322259,318802674,8.74699974060059,0.676,0.681,,0,0
88,02441025+4913540,302158899,8.06742000579834,0.52,0.529,,0,0
89,02453963+4456557,20766994,9.08288955688477,0.619,0.625,,0,0
90,02520697+3423236,77546087,8.21700000762939,0.553,0.56,,0,0
91,02522502+2658304,436883712,9.24129009246826,0.682,0.687,,0,0
92,02553573+2652208,436933291,11.1949996948242,0.31,0.326,,0,0
93,02563506+5526302,251333140,9.47348022460938,0.554,0.562,,0,0
94,02573103+1047245,387585453,10.6779003143311,0.294,0.31,,0,0
95,03090015+1001257,365369408,11.7625999450684,0.126,0.151,,0,0
97,03132299+0446293,328465904,10.6701002120972,0.159,0.182,126.2,0,0
98,03174512+2515070,28833320,9.82641983032227,0.448,0.459,,0,0
99,03180742+3815081,178078333,8.36497974395752,0.638,0.644,,0,0
100,03232241+1141134,381133463,9.90711975097656,0.401,0.413,,1,0
103,03393620+2528202,427580190,10.3437995910645,0.415,0.426,,0,0
104,03394050+2528476,427580188,10.6301002502441,0.367,0.38,,0,0
107,04010755+5123196,266041067,11.1955995559692,0.27,0.287,,0,0
110,04195968+3629113,367647436,9.58771991729736,0.513,0.521,30.6387,0,0
111,04421603+5742275,9896079,9.68900012969971,0.587,0.594,,0,0
115,05285650+1231539,302537170,11.2080001831055,0.352,0.365,,1,0
117,05340870+5112566,310526844,9.2519998550415,0.628,0.634,39.1947,0,0
